año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
2020,90436,1800,Ford,gasolina,automatica,4x2,particular,urbano,1,0,0,0,1,0,1,0
2010,188725,1600,Volkswagen,gasolina,manual,4x2,particular,rural,1,1,1,0,1,0,1,1
2008,102701,1000,Renault,gasolina,manual,4x2,particular,urbano,0,1,1,0,1,1,1,1
2007,285409,1600,Renault,gasolina,manual,4x4,particular,rural,0,1,1,1,0,1,1,1
2021,51750,2000,Honda,gasolina,manual,4x2,particular,urbano,0,0,0,1,0,0,0,1
2021,23846,1800,Ford,diesel,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,0
1999,450000,1400,Toyota,gasolina,manual,4x2,publico,urbano,1,1,1,1,0,1,1,1
2017,101719,1200,Suzuki,gasolina,automatica,4x4,particular,rural,0,0,0,1,0,0,1,0
2023,29932,1600,Chevrolet,diesel,automatica,4x4,publico,rural,1,0,0,0,0,0,1,1
2003,267677,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,0,1,1,0,1,0
2000,450000,1500,Renault,gasolina,manual,4x2,particular,rural,0,0,1,1,1,1,1,0
2017,155089,1000,Renault,gasolina,automatica,4x2,particular,urbano,0,0,0,1,0,1,0,0
2001,424875,1600,Mazda,gasolina,automatica,4x4,publico,rural,1,1,1,1,1,1,1,1
2009,240154,1500,Toyota,gasolina,manual,4x2,particular,rural,1,1,1,1,0,1,0,1
2010,182458,1400,Renault,gasolina,manual,4x4,particular,rural,1,0,0,0,1,1,0,0
2001,359352,1800,Nissan,diesel,automatica,4x2,particular,urbano,0,0,1,0,1,0,1,0
2019,76343,1500,Chevrolet,gasolina,manual,4x2,particular,rural,0,0,0,1,0,0,1,0
2013,303898,1600,Mazda,gas,manual,4x2,publico,urbano,1,1,1,1,1,1,0,1
2009,170096,1600,Toyota,diesel,manual,4x2,particular,urbano,1,0,0,0,0,1,0,1
2006,404165,1200,Fiat,gasolina,automatica,4x4,particular,rural,1,1,1,1,0,0,0,0
2005,238667,2400,Ford,diesel,automatica,4x4,particular,urbano,1,0,1,1,1,1,0,0
2001,355249,1400,Chevrolet,gasolina,automatica,4x2,particular,rural,1,1,1,1,1,0,0,1
2006,353411,1600,Ford,gasolina,manual,4x4,particular,rural,0,1,1,1,1,1,0,1
2020,58505,1000,Suzuki,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,0
2010,299225,1500,Chevrolet,gasolina,manual,4x2,particular,rural,1,0,1,1,0,1,1,1
2005,105830,1600,Mazda,gasolina,manual,4x2,particular,urbano,1,1,1,1,1,0,1,0
2002,450000,1400,Mazda,diesel,manual,4x2,publico,rural,1,1,1,1,1,1,1,1
2018,191345,1000,Renault,diesel,manual,4x2,publico,urbano,0,0,1,0,1,1,1,0
2000,450000,1500,Renault,diesel,manual,4x4,publico,urbano,1,0,0,1,1,1,0,1
2010,218402,2000,Mazda,gasolina,manual,4x4,particular,rural,1,1,1,1,1,0,0,0
2008,227474,1800,Ford,gasolina,manual,4x2,particular,urbano,0,1,0,0,0,0,1,1
2012,193099,1200,Renault,gasolina,automatica,4x2,particular,urbano,1,1,0,0,1,0,0,0
2008,376559,1800,Mitsubishi,diesel,manual,4x2,publico,rural,1,0,1,1,1,1,0,1
2015,113441,1400,Toyota,gasolina,manual,4x2,particular,rural,1,0,0,1,1,1,0,1
2010,234598,1000,Chevrolet,diesel,automatica,4x2,publico,urbano,1,0,1,1,0,0,1,1
2007,213884,1600,Nissan,gasolina,manual,4x2,particular,urbano,0,1,1,1,1,0,1,1
2003,273187,2000,Toyota,gasolina,manual,4x2,particular,rural,1,1,1,0,1,1,0,0
2007,450000,1400,Mazda,gasolina,automatica,4x2,publico,rural,0,0,0,1,0,1,0,1
2010,237186,1400,Chevrolet,gasolina,manual,4x2,particular,rural,0,1,0,0,1,0,1,0
2007,39838,1800,Hyundai,gasolina,manual,4x2,particular,urbano,1,1,0,0,0,0,0,0
2019,65645,1800,Toyota,gasolina,automatica,4x2,particular,urbano,1,0,0,0,1,0,0,1
2019,50132,1400,Ford,gasolina,automatica,4x2,particular,urbano,0,0,1,0,0,1,0,0
2005,288937,1600,Chevrolet,gas,manual,4x2,particular,rural,0,1,1,1,1,0,1,1
2019,67836,1400,Chevrolet,gas,manual,4x2,particular,rural,0,0,0,0,0,0,0,0
2014,196583,1600,Renault,diesel,manual,4x4,particular,urbano,1,0,0,0,0,1,1,1
2003,288058,1500,Honda,gasolina,automatica,4x2,particular,urbano,1,1,1,1,1,1,1,1
2021,39690,2400,Volkswagen,gasolina,manual,4x2,particular,urbano,0,0,0,0,1,0,0,0
1999,450000,1000,Renault,gasolina,manual,4x2,publico,rural,1,1,1,1,1,0,1,1
2012,243346,1400,Renault,gasolina,automatica,4x4,particular,rural,0,1,0,1,1,0,1,0
2011,120750,1400,Chevrolet,diesel,manual,4x2,particular,urbano,0,0,0,1,0,0,1,0
2016,118053,3500,Peugeot,gas,manual,4x2,particular,rural,0,0,0,0,0,0,0,1
2007,149060,1400,Renault,diesel,manual,4x2,particular,rural,0,1,1,1,1,1,0,0
1999,450000,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,0,1,0,0,0,1
2012,168112,2400,Volkswagen,gasolina,automatica,4x2,particular,rural,0,1,0,0,1,1,1,1
2016,131673,2000,Nissan,gasolina,automatica,4x2,publico,rural,1,1,1,0,1,0,0,1
1998,450000,1200,Chevrolet,gasolina,automatica,4x2,publico,urbano,1,1,1,0,0,1,0,1
2018,161212,1200,Renault,gasolina,automatica,4x2,publico,rural,0,0,0,0,1,1,0,0
2006,328363,1600,Renault,gasolina,manual,4x4,particular,urbano,1,1,1,0,0,0,1,1
2008,203186,1500,Chevrolet,gasolina,manual,4x2,particular,rural,1,0,0,1,1,0,0,0
2005,450000,1500,Toyota,gasolina,manual,4x4,publico,urbano,0,1,0,1,1,0,0,0
2005,310530,1500,Renault,gasolina,manual,4x4,particular,urbano,1,1,0,1,1,1,0,1
2010,210103,1200,Kia,gasolina,automatica,4x4,particular,urbano,0,0,1,1,1,1,1,0
2012,182501,1500,Chevrolet,gasolina,manual,4x4,particular,rural,0,0,0,0,1,1,0,0
2022,31118,2000,Peugeot,gasolina,manual,4x2,particular,rural,0,0,0,0,0,0,0,0
2003,244412,1600,Chevrolet,gasolina,manual,4x2,particular,rural,1,1,1,1,1,1,1,1
2019,60693,1800,Volkswagen,gasolina,manual,4x4,particular,urbano,1,0,0,0,0,0,0,0
2012,184125,2400,Nissan,gasolina,automatica,4x2,particular,rural,0,1,1,1,1,1,1,1
2008,331840,2400,Mazda,gasolina,automatica,4x2,particular,urbano,1,1,1,0,1,0,0,1
2013,155370,1600,Renault,gasolina,manual,4x2,particular,urbano,0,1,1,0,0,1,0,1
2016,153201,1200,Suzuki,gasolina,manual,4x2,publico,rural,0,0,1,1,1,0,0,1
2011,148219,1600,Chevrolet,diesel,manual,4x4,particular,urbano,1,0,0,0,1,1,0,1
2022,26092,1600,Ford,diesel,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2002,450000,1600,Toyota,gasolina,automatica,4x2,publico,urbano,0,1,1,1,1,0,1,1
2004,205997,1000,Kia,gasolina,automatica,4x2,particular,urbano,1,1,1,1,0,1,0,1
2012,165500,2400,Ford,gasolina,automatica,4x2,particular,urbano,0,1,0,1,1,1,0,0
2010,449191,1600,Hyundai,diesel,manual,4x2,publico,rural,1,1,1,0,1,1,0,1
1998,304708,2000,Ford,gasolina,automatica,4x4,particular,urbano,1,1,1,1,1,1,1,1
2009,419716,1200,Suzuki,gasolina,manual,4x2,publico,urbano,1,0,0,1,0,0,1,0
1999,364571,1400,Honda,diesel,manual,4x2,particular,rural,1,0,1,1,1,1,0,1
2013,160095,1500,Ford,gas,manual,4x4,particular,urbano,1,0,0,0,0,1,0,1
2010,133764,1600,Kia,diesel,manual,4x2,particular,rural,0,0,0,1,1,1,0,1
2002,340546,1000,Chevrolet,gasolina,manual,4x4,particular,urbano,0,1,0,0,1,0,1,1
2015,130091,1500,Ford,gasolina,manual,4x2,particular,rural,0,0,0,1,1,0,0,0
2016,124646,1600,Volkswagen,gasolina,automatica,4x2,particular,urbano,1,1,0,0,0,0,0,0
2014,101172,1000,Kia,gasolina,automatica,4x2,particular,urbano,0,1,1,0,0,0,0,1
2008,365670,1500,Volkswagen,gasolina,manual,4x2,publico,rural,1,1,1,1,0,1,0,1
2020,84701,2400,Peugeot,gasolina,manual,4x2,particular,urbano,0,0,1,0,0,0,0,1
2022,22998,1000,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,0,0,1,0,0,0
2021,34921,1600,Toyota,gasolina,manual,4x2,particular,urbano,0,0,1,0,0,1,0,1
2005,429653,1400,Mazda,gas,manual,4x2,publico,urbano,1,0,1,1,1,1,1,1
2003,450000,1500,Chevrolet,gasolina,manual,4x2,publico,urbano,0,1,1,1,1,0,1,0
2020,48061,1600,Mazda,gasolina,automatica,4x4,particular,urbano,0,0,0,0,0,0,0,0
2013,140785,2000,Hyundai,gasolina,manual,4x4,particular,urbano,0,1,0,0,1,0,1,1
2018,77926,1600,Chevrolet,diesel,automatica,4x2,particular,urbano,1,0,0,1,0,1,0,0
2019,110851,1500,Renault,gasolina,manual,4x4,particular,urbano,1,0,1,0,0,1,0,1
2000,450000,1400,Chevrolet,diesel,automatica,4x4,publico,rural,1,1,1,1,1,0,0,1
2005,225860,1200,Fiat,gasolina,manual,4x2,particular,urbano,1,0,1,0,0,1,0,1
2019,74666,1200,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,1,0,1,0,0,1
2005,430726,2500,Mitsubishi,gasolina,automatica,4x2,particular,rural,1,0,1,1,1,0,0,0
2020,33235,1600,Hyundai,gasolina,automatica,4x4,particular,urbano,0,0,0,0,0,1,0,0
2015,258280,3500,Mitsubishi,gasolina,automatica,4x4,publico,rural,1,0,0,0,0,0,0,1
1999,363006,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,1,1,1,1,1,1
2016,118463,1000,Renault,diesel,manual,4x2,particular,urbano,0,1,0,0,0,0,0,1
2015,184986,2000,Hyundai,gasolina,automatica,4x2,particular,urbano,0,1,1,1,0,1,1,1
2011,144084,1800,Hyundai,gasolina,automatica,4x2,particular,rural,0,0,0,1,0,1,1,0
2022,31828,2500,Mitsubishi,gasolina,automatica,4x2,particular,rural,0,0,1,0,0,0,0,0
1998,317176,1500,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,1,1,1,0,0,1
2015,215364,1500,Toyota,gasolina,automatica,4x2,publico,urbano,0,0,0,1,1,0,1,1
2020,105636,1800,Hyundai,gasolina,manual,4x2,publico,rural,0,1,0,1,0,0,0,1
2014,216136,1800,Honda,gasolina,manual,4x2,particular,urbano,0,1,0,0,1,1,0,0
2016,219255,2000,Volkswagen,diesel,manual,4x2,publico,rural,1,0,1,1,1,0,0,1
2018,88279,1600,Nissan,diesel,automatica,4x4,particular,urbano,0,1,1,1,1,0,0,0
2018,90911,1200,Kia,gasolina,automatica,4x2,particular,urbano,1,1,0,0,0,0,1,1
2023,15826,1400,Chevrolet,gasolina,automatica,4x4,particular,urbano,0,0,0,1,0,0,0,1
2011,238119,1200,Kia,gasolina,automatica,4x4,particular,urbano,1,0,0,0,0,1,1,0
2000,450000,1500,Volkswagen,gasolina,manual,4x2,publico,urbano,1,0,1,1,1,0,1,1
2011,437851,1800,Toyota,gasolina,manual,4x2,publico,urbano,0,1,1,0,1,1,0,1
2004,450000,2400,Toyota,gasolina,automatica,4x2,publico,urbano,1,1,1,0,1,0,0,1
2006,323224,1500,Hyundai,diesel,manual,4x2,particular,urbano,1,1,0,1,0,1,1,1
2010,229897,1000,Kia,gasolina,automatica,4x4,publico,urbano,0,1,0,1,1,0,1,1
2013,212689,1400,Suzuki,gasolina,manual,4x4,particular,urbano,0,0,1,0,0,0,0,0
2001,450000,1000,Renault,gasolina,automatica,4x2,particular,urbano,0,1,0,1,1,0,1,1
2012,218040,1400,Hyundai,gasolina,automatica,4x2,publico,rural,0,0,1,0,0,0,1,1
2002,362131,2400,Nissan,gasolina,manual,4x2,publico,urbano,1,0,1,1,1,1,0,1
2023,16825,1200,Suzuki,gasolina,manual,4x4,particular,rural,0,0,0,0,0,0,0,0
2012,211640,1500,Chevrolet,gasolina,manual,4x2,particular,urbano,0,1,0,1,1,0,1,1
2007,246022,1200,Chevrolet,gasolina,manual,4x4,particular,rural,0,1,1,1,1,1,1,1
2017,136387,1600,Mazda,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,0,1,0
2002,450000,1400,Toyota,gasolina,automatica,4x4,publico,urbano,1,1,1,1,1,0,0,1
2001,450000,1400,Chevrolet,diesel,manual,4x2,publico,rural,0,1,1,1,1,0,1,1
2014,228370,1500,Honda,gasolina,manual,4x2,publico,rural,1,0,1,0,1,1,0,0
2000,340245,1600,Chevrolet,diesel,automatica,4x2,particular,rural,1,1,1,1,1,1,0,1
2002,311251,1600,Hyundai,gasolina,manual,4x2,particular,urbano,1,1,1,1,1,1,0,1
1998,425059,1800,Hyundai,gas,manual,4x2,particular,rural,1,1,0,1,1,1,1,1
2014,154005,2000,Hyundai,gasolina,manual,4x2,particular,urbano,0,1,0,1,0,0,1,0
2015,161648,2400,Ford,gasolina,automatica,4x2,particular,urbano,1,1,0,0,0,0,0,1
2016,113699,1500,Toyota,gas,manual,4x2,particular,rural,1,0,0,1,1,1,0,0
1998,289570,1200,Chevrolet,gasolina,automatica,4x4,particular,rural,1,1,1,1,1,0,1,1
2015,268647,1000,Kia,gasolina,manual,4x2,publico,urbano,1,0,1,1,0,1,0,1
2008,258457,1400,Chevrolet,diesel,automatica,4x4,particular,urbano,0,1,0,0,1,1,1,0
2001,352261,1600,Chevrolet,diesel,automatica,4x2,particular,rural,1,1,0,1,0,1,1,1
2019,94704,1400,Chevrolet,diesel,manual,4x2,particular,urbano,0,0,0,0,1,0,0,0
2020,57214,1400,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,0,0,1,0,0,0
2021,81164,1500,Volkswagen,gasolina,manual,4x4,publico,urbano,0,0,0,0,0,0,1,0
2009,188138,1200,Renault,gas,manual,4x2,particular,urbano,0,0,1,1,0,0,0,1
2019,73373,1000,Fiat,gas,automatica,4x2,particular,rural,1,0,0,0,0,0,0,1
2005,205376,1200,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,1,1,1
2007,222902,2400,Hyundai,gasolina,manual,4x2,particular,rural,0,0,0,1,1,0,0,0
2004,347946,1600,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,0,1,1
2015,130434,1000,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,1,0,0,1,0,1
2019,63972,2400,Hyundai,gasolina,manual,4x2,particular,rural,0,1,1,0,0,0,0,0
2002,175378,1000,Chevrolet,gasolina,manual,4x4,particular,urbano,1,1,0,0,0,0,0,1
2021,32223,1400,Renault,gas,manual,4x2,particular,rural,0,1,0,1,0,0,0,1
2012,246734,1200,Kia,gasolina,manual,4x2,publico,urbano,1,1,1,1,1,0,0,0
2014,271149,2000,Peugeot,diesel,manual,4x2,publico,rural,1,0,1,0,1,1,0,0
2006,236164,1200,Suzuki,gasolina,manual,4x4,particular,rural,0,0,1,0,1,1,1,1
2003,435518,1500,Kia,diesel,automatica,4x2,particular,urbano,1,0,0,1,1,1,1,0
2010,160494,1500,Chevrolet,gas,manual,4x2,particular,rural,1,0,0,1,0,0,0,0
2015,252626,1000,Renault,gasolina,manual,4x2,publico,rural,1,1,1,1,1,1,1,1
2023,14928,3500,Dodge,diesel,manual,4x2,particular,rural,0,0,0,0,0,0,0,1
2009,260345,1500,Toyota,diesel,automatica,4x2,particular,urbano,0,1,0,1,0,0,1,0
2022,26236,1600,Mazda,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,0
2020,64645,1400,Kia,gasolina,automatica,4x4,particular,urbano,0,0,0,0,1,0,0,0
1998,450000,1200,Kia,gasolina,automatica,4x4,particular,urbano,0,1,1,0,0,1,1,1
2011,363904,1400,Mazda,gasolina,manual,4x2,publico,urbano,1,0,0,1,1,1,1,1
2001,76794,1600,Renault,gasolina,automatica,4x2,particular,rural,1,0,1,1,1,0,1,1
2014,186879,1400,Kia,gas,automatica,4x2,particular,rural,1,0,0,1,0,1,1,0
2002,450000,1400,Hyundai,gasolina,manual,4x2,publico,rural,1,1,1,1,0,0,1,1
2004,307684,1400,Mazda,gasolina,manual,4x2,publico,urbano,0,1,0,1,1,1,1,1
2015,190913,1400,Volkswagen,gasolina,automatica,4x2,particular,urbano,0,0,1,1,0,0,0,0
2007,134876,1500,Toyota,gasolina,manual,4x4,particular,urbano,1,1,1,1,0,0,0,1
2005,450000,1400,Suzuki,gasolina,manual,4x2,publico,rural,1,0,1,1,1,0,1,1
2023,28833,1600,Chevrolet,diesel,manual,4x2,publico,urbano,0,0,0,0,0,0,0,0
2013,318734,1000,Chevrolet,diesel,manual,4x2,publico,urbano,0,0,1,1,0,0,0,1
2022,27229,1500,Mazda,diesel,automatica,4x2,particular,urbano,0,0,0,0,0,1,0,1
2005,278709,2000,Toyota,diesel,manual,4x2,particular,urbano,1,1,0,0,1,0,1,1
2020,65794,1200,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,1,0,0,0,0,0,0
2009,344079,1600,Mazda,gasolina,manual,4x2,publico,urbano,1,1,0,0,1,0,1,1
2012,313026,1400,Chevrolet,gasolina,manual,4x2,publico,rural,1,1,0,0,0,1,0,1
2017,100180,1800,Hyundai,gasolina,manual,4x2,particular,urbano,0,0,0,1,1,0,0,0
2021,36507,1400,Honda,gasolina,manual,4x2,particular,urbano,0,0,0,1,0,0,0,0
2023,16616,1000,Renault,gasolina,automatica,4x2,publico,urbano,0,0,0,0,0,0,0,1
2023,18321,1600,Chevrolet,gasolina,manual,4x4,particular,rural,0,0,0,1,0,0,0,0
2012,177227,1200,Kia,gasolina,automatica,4x2,particular,rural,1,1,1,0,0,1,1,1
2022,31377,2500,Dodge,gasolina,manual,4x2,particular,rural,1,0,1,0,1,0,0,0
2022,49856,1800,Nissan,gasolina,automatica,4x4,publico,urbano,0,0,0,0,0,0,0,0
2018,161659,1800,Peugeot,gasolina,automatica,4x4,publico,urbano,0,0,1,0,0,0,0,0
2015,164512,1400,Kia,diesel,manual,4x2,particular,urbano,0,0,1,0,0,0,1,0
2003,450000,1500,Kia,gasolina,manual,4x2,publico,urbano,1,1,1,1,0,1,0,1
2001,208013,1500,Toyota,gasolina,manual,4x2,particular,urbano,1,1,0,0,0,1,1,0
2005,450000,1400,Toyota,gasolina,manual,4x4,publico,rural,1,0,1,1,1,1,0,1
1998,450000,1600,Chevrolet,gasolina,manual,4x2,publico,rural,1,1,1,0,1,1,1,1
1998,450000,1500,Chevrolet,gasolina,automatica,4x4,publico,rural,1,1,1,1,1,0,0,1
2020,54149,2400,Nissan,gas,automatica,4x2,particular,urbano,0,1,0,0,1,0,0,0
2005,450000,1800,Volkswagen,diesel,automatica,4x2,publico,urbano,1,1,0,1,0,1,1,1
2004,450000,1400,Renault,diesel,manual,4x2,publico,rural,0,1,1,1,1,0,1,1
2002,355549,1400,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,1,1,1,0,1,0
2006,211673,2400,Hyundai,gasolina,manual,4x4,particular,urbano,1,1,1,1,0,0,1,1
2007,215826,1000,Kia,diesel,manual,4x4,particular,rural,0,1,1,0,1,1,0,1
2020,149156,1400,Toyota,gas,manual,4x2,publico,urbano,0,1,0,1,0,0,0,0
2000,450000,1400,Chevrolet,diesel,automatica,4x4,publico,urbano,1,0,1,1,1,1,1,1
2019,96336,1000,Renault,gasolina,automatica,4x4,particular,urbano,1,1,0,1,0,1,0,0
1999,450000,1000,Kia,gasolina,automatica,4x2,publico,urbano,1,1,1,1,1,1,0,1
2003,342995,1400,Nissan,diesel,manual,4x2,particular,urbano,0,1,1,1,1,0,1,1
2000,299507,1400,Kia,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,1,1,1
2006,262964,1200,Renault,diesel,manual,4x4,particular,urbano,0,1,0,1,0,0,1,1
2003,396421,2000,Hyundai,gasolina,manual,4x2,particular,rural,0,1,1,1,1,0,0,1
2020,70724,1400,Mazda,gas,automatica,4x2,particular,rural,0,1,1,0,0,0,0,1
2011,260770,2400,Mazda,diesel,manual,4x4,publico,rural,1,1,1,0,1,1,0,0
2019,98936,2400,Mitsubishi,gasolina,automatica,4x2,particular,urbano,0,0,1,1,0,0,1,0
2002,279087,1800,Ford,diesel,automatica,4x2,particular,rural,0,1,1,0,0,0,1,0
2010,173932,1500,Ford,gasolina,automatica,4x2,particular,urbano,1,0,0,1,0,1,1,1
2013,182303,1600,Chevrolet,gasolina,automatica,4x2,publico,rural,1,1,0,1,0,0,1,1
2019,47474,1400,Honda,gasolina,manual,4x2,particular,rural,1,0,0,0,0,0,0,0
2021,48793,1600,Renault,diesel,manual,4x2,particular,urbano,0,0,0,1,0,0,0,1
2019,121899,1600,Toyota,gasolina,manual,4x2,publico,urbano,0,1,1,1,1,0,0,1
2022,48304,1000,Renault,gas,automatica,4x2,publico,urbano,1,0,0,0,0,1,0,1
2001,239524,1400,Toyota,gasolina,manual,4x4,particular,urbano,1,1,1,0,0,1,0,1
2014,209076,1400,Volkswagen,diesel,automatica,4x4,particular,urbano,0,0,1,0,1,0,1,0
2004,215720,1800,Hyundai,gas,manual,4x4,particular,urbano,0,0,1,0,0,0,1,1
2000,306921,2400,Peugeot,diesel,manual,4x2,particular,urbano,1,1,1,1,0,1,1,1
2005,231379,1000,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,1,0,0,1,0,1
2011,276337,1800,Honda,gasolina,automatica,4x2,particular,rural,0,1,0,0,0,1,1,1
2022,26194,1200,Kia,gasolina,manual,4x4,particular,urbano,1,0,0,0,1,0,0,0
2013,127533,2400,Toyota,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,0,1,1
2013,155038,1400,Mazda,gasolina,automatica,4x4,particular,urbano,1,1,1,1,0,0,1,1
2010,224861,1000,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,0,0,0
2022,21013,2000,Hyundai,diesel,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2023,11092,1500,Mazda,gasolina,automatica,4x4,particular,rural,0,0,0,1,0,0,0,0
2011,205071,1400,Chevrolet,gasolina,automatica,4x2,publico,urbano,1,1,0,1,0,1,0,1
2015,187793,1200,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,1,0
2008,147897,2400,Peugeot,gasolina,manual,4x2,particular,urbano,0,0,0,1,0,1,0,0
2017,79415,1600,Hyundai,gas,manual,4x2,particular,urbano,0,0,0,1,1,1,0,0
2020,64889,2400,Peugeot,gas,automatica,4x2,particular,rural,0,0,0,0,1,0,0,1
2005,295592,2000,Ford,gasolina,manual,4x2,particular,rural,1,0,0,0,1,1,0,1
2003,263435,2000,Toyota,gasolina,automatica,4x2,particular,urbano,1,0,1,1,0,1,1,1
2017,84351,1500,Fiat,gasolina,automatica,4x2,particular,urbano,0,1,0,0,0,0,0,1
2003,270015,1800,Hyundai,gasolina,automatica,4x2,publico,urbano,1,1,1,1,0,1,0,1
2013,207665,1400,Kia,diesel,automatica,4x2,particular,urbano,0,0,1,0,1,1,0,0
2006,309540,1600,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,1,1,1,1,0,1
2018,54077,1500,Renault,gasolina,manual,4x2,particular,urbano,0,0,0,1,1,1,1,0
2000,450000,1800,Toyota,gasolina,automatica,4x4,publico,rural,1,1,0,1,1,1,1,1
2019,76201,1800,Mazda,diesel,manual,4x2,particular,rural,0,0,1,1,0,1,0,1
2009,224053,1000,Chevrolet,gasolina,manual,4x2,particular,rural,0,0,0,1,1,0,1,1
2009,263460,2400,Peugeot,gasolina,manual,4x2,publico,rural,0,1,1,1,1,1,0,0
2002,331334,1500,Suzuki,gasolina,automatica,4x2,publico,rural,1,1,1,1,1,1,1,1
2015,147000,2400,Mitsubishi,gasolina,manual,4x2,particular,urbano,0,1,1,0,0,1,0,1
2003,450000,1400,Mazda,gasolina,automatica,4x2,publico,rural,1,1,0,1,1,1,1,1
2016,48934,2400,Volkswagen,gasolina,manual,4x2,particular,urbano,0,1,0,0,0,0,0,0
2012,176868,1500,Nissan,diesel,automatica,4x2,particular,rural,0,0,0,1,1,0,0,0
2014,239046,2400,Ford,gasolina,automatica,4x4,publico,rural,0,1,0,1,0,0,1,0
2014,175968,1800,Toyota,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,1
2002,341119,1600,Hyundai,gasolina,automatica,4x2,particular,urbano,1,1,0,1,0,0,0,1
2012,140172,1600,Chevrolet,gas,automatica,4x2,particular,rural,0,0,0,0,1,1,1,1
2022,27846,1400,Mazda,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2015,211147,1600,Kia,gasolina,manual,4x2,particular,urbano,0,1,1,0,0,0,0,1
2016,141079,1000,Chevrolet,gasolina,manual,4x2,particular,urbano,0,1,0,0,1,1,0,0
2023,14774,1600,Toyota,gasolina,automatica,4x2,particular,urbano,0,1,0,0,0,0,0,0
2019,149615,1400,Hyundai,gas,manual,4x2,publico,urbano,0,0,0,0,0,0,0,1
2014,122504,1400,Renault,gasolina,manual,4x2,particular,urbano,1,0,0,0,1,0,0,1
2013,132893,1000,Fiat,diesel,automatica,4x2,particular,rural,1,0,0,1,0,0,1,1
2008,320239,1600,Kia,gasolina,automatica,4x2,particular,urbano,1,1,1,0,1,1,1,1
