placa,tipo_vehiculo,marca,modelo,año,kilometraje,combustible,fecha_ultima_revision,tiempo_desde_revision,falla
ZAU128,camioneta,Mitsubishi,Frontier,2008,147038,diésel,2025-05-25,11,1
EXT854,carro,Hyundai,Corolla,2009,59916,gasolina,2022-02-15,51,1
WOJ697,carro,Renault,Civic,2009,81844,eléctrico,2021-10-24,54,0
HAI030,bus,Scania,Sprinter,2020,332438,diésel,2024-05-06,24,1
NIP003,moto,AKT,TTX,2018,47836,gasolina,2022-09-18,44,0
IHZ483,moto,AKT,CB190,2013,49654,gasolina,2022-09-17,44,1
BUV467,bus,Hino,Sprinter,2010,226000,diésel,2021-12-20,53,1
AES991,carro,Renault,Spark,2010,20349,eléctrico,2025-02-23,14,0
CTV725,camioneta,Toyota,Frontier,2014,100243,diésel,2021-06-09,59,0
BKH198,bus,Hino,B7R,2015,71617,diésel,2024-07-15,21,0
ANR006,carro,Kia,Spark,2012,110146,diésel,2025-02-07,14,0
EZO923,moto,Bajaj,CB190,2011,74005,gasolina,2021-05-04,60,1
GNH321,moto,Honda,TTX,2016,29424,gasolina,2022-02-25,50,0
LOT022,carro,Ford,Logan,2015,141721,gasolina,2021-10-30,54,1
UTZ757,moto,Suzuki,GS150,2014,17567,gasolina,2023-12-30,28,0
ROU492,carro,Renault,Corolla,2009,38282,gasolina,2024-06-24,22,0
BAI271,carro,Kia,Corolla,2017,99345,gasolina,2022-01-03,52,0
VJT119,carro,Mazda,Mustang,2008,51440,diésel,2023-10-07,31,1
ACE296,carro,Chevrolet,Corolla,2005,62617,gasolina,2023-02-19,38,1
IZP581,camioneta,Nissan,Ranger,2011,153449,diésel,2021-01-02,64,1
UEK011,camioneta,Nissan,Ranger,2019,71012,diésel,2022-08-04,45,0
AFQ587,carro,Toyota,Tucson,2012,70125,gasolina,2021-04-10,61,1
FTD882,camioneta,Mitsubishi,Frontier,2011,105311,gasolina,2022-07-02,46,1
ZES434,carro,Toyota,Civic,2017,93249,gasolina,2024-08-11,20,0
OXV723,carro,Toyota,Mustang,2021,105626,eléctrico,2024-10-17,18,1
GWP949,camioneta,Mitsubishi,Frontier,2011,105857,gasolina,2023-09-04,32,0
RAI852,moto,AKT,Pulsar,2016,16025,gasolina,2022-07-03,46,1
RWR738,carro,Chevrolet,Corolla,2023,115351,diésel,2022-11-02,42,1
UGL780,camioneta,Nissan,Frontier,2020,225014,gasolina,2022-08-12,45,1
HTZ731,carro,Renault,Spark,2023,108710,gasolina,2021-06-22,59,1
RDS673,moto,Suzuki,CB190,2016,51212,gasolina,2024-04-01,25,0
OQR411,camioneta,Toyota,Frontier,2017,94974,gasolina,2024-12-27,16,0
UBQ350,carro,Renault,CX-5,2011,71176,gasolina,2023-11-28,29,0
WKF270,carro,Kia,Logan,2017,31363,gasolina,2022-07-20,46,1
YRX188,camioneta,Toyota,L200,2015,134693,gasolina,2022-08-06,45,0
ZDZ679,carro,Kia,Mustang,2006,75247,diésel,2022-11-16,42,1
JIP390,carro,Chevrolet,Corolla,2021,125076,eléctrico,2024-04-15,24,0
RXX209,carro,Kia,Sportage,2011,43705,gasolina,2022-03-26,49,0
BNQ052,carro,Kia,Logan,2010,127751,diésel,2022-08-31,44,1
IRV262,carro,Kia,Mustang,2024,69151,gasolina,2024-12-23,16,0
PII380,camioneta,Mitsubishi,Ranger,2009,85555,gasolina,2025-04-19,12,0
JMD343,moto,Honda,Pulsar,2018,30337,gasolina,2022-02-02,51,0
PME652,carro,Toyota,Corolla,2022,58685,gasolina,2024-07-20,21,0
EWP800,carro,Chevrolet,Logan,2017,6908,diésel,2025-03-22,13,0
OZV230,moto,Yamaha,GS150,2014,52786,gasolina,2024-02-26,26,0
KRV999,carro,Renault,Sportage,2023,107100,gasolina,2021-08-28,56,0
VVB633,carro,Chevrolet,Tucson,2023,124749,gasolina,2021-05-03,60,1
CTO174,moto,Suzuki,Pulsar,2017,54105,gasolina,2021-08-09,57,1
NBW031,camioneta,Mitsubishi,Ranger,2012,136239,gasolina,2023-06-08,35,1
FBF629,moto,AKT,GS150,2014,6429,gasolina,2023-04-16,37,1
JST018,carro,Hyundai,Civic,2021,86408,gasolina,2023-11-25,29,0
URM788,carro,Mazda,Sportage,2013,40337,gasolina,2022-06-23,46,0
BGC905,moto,Yamaha,Pulsar,2014,34418,gasolina,2025-01-05,16,0
TAX007,moto,Bajaj,CB190,2010,67932,gasolina,2021-02-04,63,0
GZW517,carro,Renault,Corolla,2006,81127,diésel,2023-06-30,34,0
ROC523,moto,Honda,TTX,2016,500,gasolina,2021-09-04,56,0
RVY311,carro,Honda,Civic,2015,44944,gasolina,2021-10-04,55,1
ZPY992,moto,Suzuki,CB190,2016,28649,gasolina,2022-09-10,44,0
OUI803,moto,AKT,TTX,2017,35486,gasolina,2021-08-08,57,1
LJQ941,moto,AKT,Pulsar,2023,58760,gasolina,2025-02-08,14,0
OHP732,carro,Mazda,Corolla,2017,109287,gasolina,2024-01-06,28,1
MUR133,carro,Ford,Spark,2024,108425,gasolina,2023-01-02,40,0
ANJ266,carro,Hyundai,Tucson,2006,88130,eléctrico,2024-02-09,27,0
LDA581,carro,Renault,CX-5,2011,69671,gasolina,2023-07-03,34,1
VBD131,moto,Suzuki,FZ25,2011,32766,gasolina,2022-09-07,44,1
VAI004,carro,Ford,Corolla,2020,95124,gasolina,2022-09-04,44,0
IEO797,carro,Kia,Sportage,2013,112688,diésel,2023-12-20,28,0
RHY416,carro,Honda,Logan,2015,134342,gasolina,2021-05-06,60,1
LXZ084,moto,Yamaha,CB190,2023,41872,gasolina,2023-02-12,39,0
TGV266,moto,AKT,FZ25,2019,45896,gasolina,2024-02-15,26,0
DHU102,carro,Ford,Tucson,2023,131990,gasolina,2025-04-30,12,0
PGI950,carro,Kia,CX-5,2021,41959,gasolina,2023-07-22,33,0
TJL750,carro,Mazda,Mustang,2016,108740,gasolina,2021-12-21,53,0
OPT399,carro,Kia,Spark,2013,52421,gasolina,2023-02-23,38,1
HMP705,moto,Yamaha,CB190,2023,71876,gasolina,2023-04-24,36,0
YLQ747,moto,Bajaj,TTX,2024,68118,gasolina,2025-04-07,12,0
WYI622,carro,Toyota,Spark,2021,137566,gasolina,2022-05-29,47,0
LJG267,carro,Honda,Mustang,2010,133955,diésel,2023-08-03,33,1
XIV487,carro,Toyota,Tucson,2006,109421,gasolina,2022-06-12,47,0
LRN429,carro,Chevrolet,Logan,2015,44191,gasolina,2024-12-02,17,0
HXN620,moto,Bajaj,GS150,2014,49895,gasolina,2024-09-20,19,0
JNM279,moto,Bajaj,FZ25,2021,57914,gasolina,2024-08-07,21,0
TNH809,camioneta,Ford,Ranger,2021,129094,diésel,2024-03-17,25,0
CRT567,carro,Renault,Sportage,2014,75991,eléctrico,2023-10-27,30,1
JXG041,bus,Scania,Sprinter,2015,209413,diésel,2024-05-09,24,1
LZH619,camioneta,Toyota,Frontier,2017,125503,diésel,2024-12-17,16,1
GOV536,camioneta,Ford,Ranger,2009,68950,diésel,2023-06-27,34,1
IIU706,camioneta,Ford,Ranger,2017,137165,diésel,2021-09-26,55,1
EDI859,carro,Toyota,Logan,2015,99421,gasolina,2023-12-13,28,0
CQG514,carro,Renault,Tucson,2017,75389,gasolina,2021-01-25,64,0
FBF948,carro,Ford,Tucson,2007,103376,gas natural,2024-06-08,23,0
YME597,camioneta,Mitsubishi,Hilux,2014,156545,diésel,2025-06-13,10,0
KVK430,carro,Toyota,Corolla,2023,44416,gas natural,2022-03-03,50,0
QID163,carro,Mazda,Corolla,2011,131473,gas natural,2022-07-10,46,1
GXW036,carro,Ford,Tucson,2021,115571,gasolina,2024-05-07,24,0
KIO793,camioneta,Mitsubishi,L200,2014,150244,diésel,2023-10-27,30,0
PYB374,carro,Toyota,CX-5,2006,114906,gas natural,2021-07-31,57,0
CNP585,moto,Suzuki,FZ25,2020,54288,gasolina,2022-02-12,51,0
AWS613,camioneta,Ford,Ranger,2017,110025,diésel,2024-04-14,24,0
UGN509,carro,Chevrolet,Spark,2013,54334,gasolina,2025-05-19,11,0
JLF637,moto,Honda,Pulsar,2017,50248,gasolina,2024-09-20,19,0
DXC525,camioneta,Mitsubishi,Frontier,2021,115316,diésel,2024-09-03,20,0
FYV262,carro,Kia,Spark,2014,55722,gasolina,2022-12-14,41,0
GZQ949,carro,Chevrolet,Sportage,2011,141587,gasolina,2023-08-29,32,1
SHG501,moto,Suzuki,TTX,2013,56810,gasolina,2023-10-07,31,0
IQC613,carro,Toyota,Tucson,2013,69118,gasolina,2025-05-20,11,0
KNB273,camioneta,Ford,Ranger,2013,47022,gasolina,2024-07-28,21,0
LAT037,moto,Yamaha,FZ25,2019,23238,gasolina,2021-09-09,56,1
GID418,carro,Kia,Corolla,2023,97100,gasolina,2024-03-23,25,0
UVT670,carro,Kia,Spark,2020,70979,eléctrico,2022-01-26,51,0
SVH292,carro,Chevrolet,Sportage,2017,33888,diésel,2022-04-08,49,1
NVD341,moto,AKT,GS150,2016,45337,gasolina,2022-09-20,43,0
NSY131,carro,Toyota,Corolla,2022,74444,diésel,2025-02-23,14,0
ZJC501,carro,Toyota,Logan,2011,65908,eléctrico,2024-09-02,20,0
MKZ167,carro,Ford,Corolla,2008,36428,gasolina,2024-09-25,19,0
LXJ003,carro,Toyota,Tucson,2014,91713,gasolina,2023-05-25,35,0
JJQ612,carro,Renault,Spark,2016,42460,gasolina,2023-07-11,34,0
KQF130,carro,Ford,Tucson,2019,72557,eléctrico,2022-02-20,51,0
PJI166,carro,Mazda,Corolla,2010,120619,gasolina,2023-06-13,35,1
EMR984,carro,Chevrolet,Logan,2008,123556,gasolina,2022-04-05,49,1
NBB134,moto,Yamaha,TTX,2010,37438,gasolina,2024-05-27,23,0
ZTA683,carro,Ford,Tucson,2007,500,gasolina,2025-04-01,13,1
ZVF318,camioneta,Nissan,L200,2023,140208,diésel,2021-04-01,61,1
KCT422,bus,Scania,K410,2014,144263,diésel,2024-07-09,22,1
ANF234,camioneta,Nissan,Hilux,2020,54265,diésel,2025-01-03,16,0
VCE321,moto,Honda,GS150,2020,54798,gasolina,2023-12-02,29,0
KDO661,carro,Hyundai,Tucson,2011,15257,gasolina,2023-05-01,36,0
VGV152,moto,Bajaj,GS150,2018,54249,gasolina,2023-07-06,34,0
CTE433,camioneta,Mitsubishi,L200,2014,146203,gasolina,2022-09-12,44,0
YAV955,carro,Kia,Sportage,2019,97592,gasolina,2021-11-19,54,0
BCU979,camioneta,Mitsubishi,Ranger,2018,118382,gasolina,2024-08-01,21,0
ITL268,bus,Volvo,FD,2003,193269,diésel,2022-08-11,45,1
KJE224,carro,Kia,CX-5,2018,63066,gasolina,2024-06-17,22,0
YYS610,carro,Ford,Logan,2012,42130,gasolina,2022-08-19,45,1
VPP781,carro,Kia,Mustang,2007,162900,gasolina,2024-11-21,17,1
FYO802,camioneta,Nissan,Ranger,2015,92215,gasolina,2024-04-08,25,0
XLE733,moto,Honda,GS150,2023,21530,gasolina,2023-10-15,30,0
PIN220,camioneta,Ford,Hilux,2019,106270,gasolina,2023-08-29,32,0
FWL281,carro,Hyundai,Spark,2007,100215,diésel,2022-10-18,43,1
ZGQ446,carro,Ford,Corolla,2010,115726,gasolina,2023-08-31,32,0
UTB038,carro,Toyota,Logan,2010,72019,eléctrico,2021-03-08,62,0
GKT369,moto,AKT,FZ25,2012,36194,gasolina,2024-07-10,21,0
WPD527,camioneta,Mitsubishi,Hilux,2018,77953,gasolina,2022-06-19,47,0
GCH901,carro,Hyundai,Civic,2015,71036,gasolina,2025-06-13,10,0
BCB372,carro,Honda,Corolla,2018,110285,gasolina,2024-03-01,26,0
ACC018,carro,Hyundai,Civic,2016,77825,gasolina,2021-03-16,62,0
RYL114,carro,Hyundai,Sportage,2023,67151,gasolina,2023-07-05,34,0
DVG859,carro,Honda,Spark,2024,85984,gasolina,2024-02-27,26,0
RHV308,bus,Volvo,Sprinter,2018,153099,diésel,2021-03-11,62,1
SJE498,moto,Yamaha,GS150,2022,500,gasolina,2023-05-10,36,0
HTB167,carro,Chevrolet,Civic,2010,62969,gasolina,2021-07-05,58,0
RFP004,moto,AKT,CB190,2022,500,gasolina,2023-03-21,37,1
TAI321,camioneta,Ford,Ranger,2014,99422,diésel,2022-07-14,46,0
UPG890,moto,AKT,GS150,2017,48230,gasolina,2021-10-30,54,1
NOI995,carro,Honda,CX-5,2020,114564,gasolina,2021-03-17,62,0
OON014,carro,Hyundai,Sportage,2015,98546,gasolina,2024-06-18,22,1
GFA320,moto,AKT,FZ25,2019,40725,gasolina,2021-01-13,64,0
YMZ161,moto,Yamaha,TTX,2024,19486,gasolina,2022-10-30,42,0
ZVS245,carro,Hyundai,Logan,2007,41541,diésel,2025-02-15,14,1
LLH731,carro,Kia,Spark,2010,72649,gasolina,2023-11-27,29,0
PUX421,carro,Ford,Tucson,2016,49724,diésel,2022-06-05,47,0
TXW340,carro,Renault,Sportage,2021,46324,gasolina,2024-11-04,18,0
YEE719,moto,Suzuki,TTX,2013,40893,gasolina,2022-04-11,49,0
QWU376,camioneta,Ford,Ranger,2020,75931,diésel,2022-02-14,51,0
ZIE423,carro,Mazda,CX-5,2022,16412,gas natural,2024-08-23,20,0
VAI127,carro,Ford,Corolla,2018,72358,gasolina,2021-08-25,56,0
PLT689,carro,Toyota,Mustang,2016,46761,gasolina,2021-05-02,60,1
QYL090,camioneta,Nissan,Ranger,2019,130702,diésel,2023-09-27,31,0
HFU028,moto,Bajaj,FZ25,2018,65879,gasolina,2021-10-21,55,1
AZF468,carro,Mazda,Sportage,2012,106600,diésel,2022-07-29,45,0
UGB335,carro,Honda,Logan,2017,95275,gasolina,2022-07-30,45,0
FJP915,carro,Mazda,CX-5,2012,127797,diésel,2022-06-27,46,0
HVL966,carro,Ford,Tucson,2020,45671,gasolina,2023-03-06,38,0
MUO240,carro,Honda,Corolla,2010,59821,eléctrico,2022-03-24,49,0
BAC469,moto,Honda,GS150,2022,43710,gasolina,2021-03-22,62,0
NRY484,camioneta,Mitsubishi,Hilux,2012,94173,gasolina,2023-12-10,29,1
LYH259,moto,Bajaj,FZ25,2024,42903,gasolina,2022-10-29,42,0
OOV875,bus,Hino,K410,2004,177313,diésel,2024-11-18,17,1
WIL257,carro,Hyundai,Sportage,2016,70821,gasolina,2022-07-31,45,0
GXK728,camioneta,Toyota,Frontier,2017,92907,diésel,2023-06-15,35,0
ROA101,carro,Chevrolet,Sportage,2013,106040,gasolina,2021-03-26,62,1
DZH150,camioneta,Mitsubishi,Frontier,2013,102553,gasolina,2024-08-31,20,0
XYA174,moto,Yamaha,Pulsar,2017,13791,gasolina,2023-05-09,36,1
VCX367,carro,Honda,Logan,2019,75736,gasolina,2024-02-06,27,0
EID609,camioneta,Nissan,L200,2010,85646,diésel,2025-03-03,14,1
YFD895,moto,Honda,Pulsar,2017,68877,gasolina,2021-10-21,55,1
ESR208,carro,Toyota,Sportage,2023,92681,gasolina,2025-03-22,13,0
XZS144,bus,Hino,B7R,2008,276243,diésel,2025-01-22,15,1
AFG616,camioneta,Nissan,Frontier,2008,114442,diésel,2023-11-12,30,0
LPN585,moto,Bajaj,Pulsar,2020,58418,gasolina,2021-12-30,52,0
UNY284,carro,Renault,Sportage,2016,106771,gasolina,2022-07-22,45,0
NGB549,moto,Honda,FZ25,2020,51160,gasolina,2023-04-08,37,0
UIY414,carro,Ford,Mustang,2016,19109,diésel,2024-07-27,21,0
HYR749,camioneta,Mitsubishi,L200,2017,117984,gasolina,2021-05-26,60,1
YLS901,carro,Honda,Sportage,2021,127627,gasolina,2024-02-07,27,1
KXP658,camioneta,Mitsubishi,Frontier,2019,110538,gasolina,2025-03-13,13,0
XDX977,carro,Mazda,Sportage,2013,120949,gasolina,2023-02-18,38,1
ZUX297,moto,Honda,CB190,2014,30393,gasolina,2023-01-17,39,1
LHA497,camioneta,Mitsubishi,Ranger,2018,97727,gasolina,2024-07-04,22,0
ZPF871,camioneta,Nissan,L200,2015,137542,gasolina,2022-02-21,50,0
OBC172,carro,Chevrolet,Spark,2022,30526,gasolina,2024-09-22,19,0
NOZ693,camioneta,Toyota,L200,2010,176900,diésel,2021-09-03,56,1
KOC381,carro,Kia,Sportage,2013,70363,gasolina,2021-04-28,60,1
XIW196,carro,Honda,Corolla,2007,125969,gasolina,2021-09-20,56,0
OKV253,carro,Kia,Mustang,2019,59071,gas natural,2025-04-20,12,0
FDM293,carro,Kia,CX-5,2008,106311,gasolina,2023-06-19,34,1
GBC494,camioneta,Nissan,Hilux,2020,93367,gasolina,2022-09-12,44,1
FXQ751,carro,Mazda,Mustang,2020,26150,diésel,2023-09-19,31,0
VRG270,carro,Renault,Corolla,2019,65181,eléctrico,2025-01-17,15,0
ICF329,carro,Mazda,Spark,2024,76025,gasolina,2023-02-18,38,1
MPL693,moto,Honda,CB190,2017,49597,gasolina,2024-01-01,28,1
WKV288,carro,Honda,Sportage,2017,52357,gasolina,2024-06-18,22,0
XIN794,carro,Chevrolet,Sportage,2021,98188,gasolina,2023-06-18,34,0
RPH558,camioneta,Nissan,Hilux,2019,99627,diésel,2024-12-26,16,0
ZHD965,moto,Yamaha,TTX,2023,500,gasolina,2021-10-23,55,0
XWL417,carro,Hyundai,CX-5,2006,114459,gasolina,2024-12-14,16,0
OSS948,camioneta,Toyota,Ranger,2020,153120,gasolina,2024-09-30,19,0
SEA908,moto,AKT,GS150,2016,32854,gasolina,2023-07-29,33,0
ZJI126,carro,Hyundai,Tucson,2016,73443,gasolina,2021-12-23,52,1
XVA590,bus,Volvo,K410,2017,168561,diésel,2022-07-05,46,1
OND452,moto,Yamaha,Pulsar,2023,47608,gasolina,2021-06-22,59,0
CGG608,camioneta,Toyota,Hilux,2020,86411,diésel,2022-10-01,43,0
GSK143,carro,Mazda,Spark,2009,109110,gasolina,2024-12-25,16,0
PYQ508,carro,Hyundai,Tucson,2024,74943,gasolina,2024-09-30,19,0
AFC115,moto,Suzuki,Pulsar,2020,14039,gasolina,2025-01-19,15,0
XYR847,camioneta,Nissan,Hilux,2013,137452,diésel,2023-08-03,33,0
PRE718,carro,Chevrolet,Sportage,2022,96470,gasolina,2025-02-06,14,0
YMI295,carro,Renault,Logan,2022,15323,gasolina,2023-11-23,29,0
WOW274,carro,Kia,Tucson,2023,86503,diésel,2022-04-11,49,1
OGT451,moto,Bajaj,CB190,2011,51223,gasolina,2024-06-09,23,0
DBY368,camioneta,Nissan,Ranger,2010,106261,diésel,2023-07-31,33,0
HET692,carro,Ford,Tucson,2019,63215,diésel,2023-05-21,35,0
NYZ053,moto,Yamaha,FZ25,2018,64571,gasolina,2024-07-22,21,0
EMJ941,moto,Bajaj,FZ25,2011,26773,gasolina,2021-03-22,62,1
JXC337,carro,Toyota,Spark,2018,141013,gasolina,2021-02-20,63,0
JMC040,carro,Chevrolet,Tucson,2015,54737,diésel,2022-04-27,48,0
VFJ401,moto,AKT,GS150,2015,58802,gasolina,2024-04-17,24,0
GLE755,moto,AKT,TTX,2016,76090,gasolina,2025-01-22,15,0
VPK264,carro,Toyota,Logan,2018,35111,gasolina,2022-11-07,42,0
XXQ777,carro,Honda,Logan,2024,96721,gasolina,2022-06-21,46,1
TRZ904,bus,Mercedes,FD,2015,156736,diésel,2023-10-06,31,1
QPK044,carro,Honda,CX-5,2023,108060,diésel,2021-10-30,54,0
DRW395,moto,AKT,Pulsar,2014,68716,gasolina,2024-11-05,18,0
UMK202,carro,Kia,Sportage,2006,142125,gas natural,2021-12-23,52,1
XYP670,camioneta,Nissan,Frontier,2016,151064,gasolina,2021-09-20,56,1
RXC900,carro,Ford,Civic,2011,68395,eléctrico,2022-04-25,48,0
VOX734,carro,Renault,Tucson,2022,105273,diésel,2022-03-03,50,0
HVV983,carro,Toyota,Corolla,2020,172165,gasolina,2023-11-20,29,0
GHR044,moto,Honda,Pulsar,2021,65207,gasolina,2023-09-14,31,0
YHT250,moto,Bajaj,TTX,2015,84679,gasolina,2022-07-18,46,1
HJF781,carro,Mazda,Tucson,2015,120789,gasolina,2024-02-21,26,1
ITL472,camioneta,Toyota,Frontier,2013,62987,diésel,2022-04-27,48,0
BRA337,camioneta,Nissan,L200,2014,99834,diésel,2024-12-05,17,0
NTF806,bus,Volvo,Sprinter,2015,243899,diésel,2021-01-01,64,1
ZOU081,moto,AKT,CB190,2024,21709,gasolina,2024-11-24,17,0
YQD292,carro,Ford,Spark,2022,105040,gasolina,2022-09-20,43,1
DZV414,camioneta,Mitsubishi,Frontier,2012,33941,gasolina,2022-01-10,52,0
SZA547,moto,Bajaj,CB190,2019,39054,gasolina,2022-01-12,52,0
BQG021,moto,Yamaha,CB190,2011,52352,gasolina,2021-02-24,63,1
KYE225,carro,Renault,CX-5,2016,15990,gasolina,2025-03-24,13,0
BQG533,carro,Chevrolet,Sportage,2024,100354,diésel,2025-04-23,12,0
HXB968,carro,Mazda,Sportage,2020,112816,gas natural,2023-11-27,29,0
LUN816,moto,Yamaha,Pulsar,2010,59383,gasolina,2022-06-15,47,1
PFD286,carro,Honda,Civic,2012,23857,gasolina,2024-11-01,18,0
OSV506,carro,Chevrolet,Sportage,2010,31487,gasolina,2023-10-10,31,0
KOY711,carro,Hyundai,Mustang,2009,121524,diésel,2024-07-30,21,1
HUY315,camioneta,Toyota,L200,2015,157522,gasolina,2023-05-29,35,0
ABZ259,carro,Chevrolet,Sportage,2006,44787,gasolina,2023-03-14,38,0
EUX485,moto,Suzuki,CB190,2016,14453,gasolina,2024-09-03,20,0
PSR780,carro,Honda,Civic,2012,115713,gasolina,2022-01-23,51,0
YEQ108,carro,Ford,Logan,2006,13450,gas natural,2022-09-11,44,1
RDT660,carro,Mazda,Corolla,2019,105122,gasolina,2021-12-16,53,0
VQP796,moto,AKT,GS150,2018,8103,gasolina,2023-01-18,39,0
KVO496,bus,Mercedes,K410,2004,116988,diésel,2024-01-13,27,0
GJR577,carro,Hyundai,Tucson,2016,84951,gasolina,2021-06-10,59,1
RTW283,carro,Mazda,Spark,2008,104916,gas natural,2025-02-10,14,0
ASL454,moto,Yamaha,CB190,2023,54782,gasolina,2022-06-27,46,0
DWU950,moto,AKT,FZ25,2024,43674,gasolina,2024-08-22,20,0
GXM711,moto,Honda,Pulsar,2013,23395,gasolina,2022-08-05,45,0
DXT382,moto,Yamaha,Pulsar,2022,24527,gasolina,2021-07-10,58,1
LPK898,carro,Toyota,Spark,2007,89338,gasolina,2024-03-25,25,0
HLZ931,carro,Toyota,Tucson,2014,104984,gasolina,2024-10-28,18,0
MDT214,bus,Scania,B7R,2018,147774,diésel,2024-06-30,22,0
RLJ836,carro,Honda,Mustang,2023,56491,gasolina,2023-02-21,38,1
LJV382,moto,Honda,GS150,2014,28290,gasolina,2022-05-13,48,0
HMQ644,carro,Renault,Sportage,2016,82254,gasolina,2021-12-16,53,1
DVM235,carro,Toyota,Civic,2014,47323,gasolina,2022-02-09,51,0
LKH464,carro,Toyota,Sportage,2024,79728,gasolina,2021-07-19,58,0
DRL270,carro,Toyota,Corolla,2018,87500,diésel,2024-09-20,19,0
URH082,carro,Renault,CX-5,2009,98099,diésel,2021-05-17,60,1
VPE831,bus,Volvo,B7R,2018,227651,diésel,2021-12-24,52,1
WGG841,camioneta,Nissan,Ranger,2021,60103,gasolina,2024-10-24,18,0
EBD958,camioneta,Toyota,L200,2012,112619,diésel,2021-08-19,57,0
FKX863,carro,Kia,Logan,2016,95718,gasolina,2023-03-13,38,1
MYJ663,bus,Hino,FD,2004,158986,diésel,2023-09-26,31,1
PEY723,camioneta,Toyota,L200,2014,94429,diésel,2022-07-28,45,1
PCW420,carro,Honda,Sportage,2006,128999,eléctrico,2024-01-25,27,0
XAW056,moto,AKT,Pulsar,2011,673,gasolina,2024-07-18,21,0
FNM352,moto,Yamaha,GS150,2019,83426,gasolina,2023-09-24,31,0
FYS564,moto,Suzuki,TTX,2014,64464,gasolina,2023-03-07,38,0
OJH117,moto,Yamaha,TTX,2012,34012,gasolina,2021-03-30,61,0
HQY331,carro,Mazda,CX-5,2006,137094,gasolina,2021-10-23,55,1
KNP300,carro,Chevrolet,CX-5,2022,46483,gasolina,2021-11-19,54,0
YQX617,moto,Honda,FZ25,2019,50607,gasolina,2021-10-27,54,1
UAE267,carro,Ford,CX-5,2007,31484,gasolina,2024-04-17,24,1
GBY509,camioneta,Toyota,Hilux,2011,173234,diésel,2022-08-13,45,1
SHC536,carro,Chevrolet,Logan,2010,57838,eléctrico,2025-03-16,13,0
KEF950,moto,Bajaj,Pulsar,2015,57489,gasolina,2024-01-24,27,0
DMX033,moto,AKT,GS150,2020,44435,gasolina,2022-07-12,46,0
EKQ710,moto,Bajaj,Pulsar,2014,32771,gasolina,2024-04-18,24,0
LDM928,carro,Mazda,Civic,2009,61415,gasolina,2023-07-17,33,1
AFG151,carro,Hyundai,Spark,2009,169207,gasolina,2022-08-13,45,1
MMY763,carro,Kia,Mustang,2011,56946,gasolina,2024-11-12,17,0
PON315,carro,Toyota,Logan,2011,99107,diésel,2023-03-12,38,1
IBM990,carro,Toyota,Logan,2011,104361,gasolina,2022-09-13,44,0
GYP118,carro,Honda,Logan,2013,120858,gasolina,2024-12-16,16,1
GSQ043,camioneta,Nissan,Ranger,2019,154964,gasolina,2023-02-05,39,0
CKV235,carro,Kia,Civic,2010,41948,diésel,2024-08-02,21,0
